cve_id,description,published_date,references
CVE-2011-3079,"The Inter-process Communication (IPC) implementation in Google Chrome before 18.0.1025.168, as used in Mozilla Firefox before 38.0 and other products, does not properly validate messages, which has unspecified impact and attack vectors.",2012-05-01,"http://googlechromereleases.blogspot.com/2012/04/stable-channel-update_30.html,http://www.debian.org/security/2015/dsa-3260,http://www.mozilla.org/security/announce/2015/mfsa2015-57.html,http://www.securityfocus.com/bid/53309,http://osvdb.org/81645,https://bugzilla.mozilla.org/show_bug.cgi?id=1087565,https://exchange.xforce.ibmcloud.com/vulnerabilities/75271,http://lists.opensuse.org/opensuse-security-announce/2015-05/msg00012.html,http://code.google.com/p/chromium/issues/detail?id=117627,http://lists.opensuse.org/opensuse-updates/2015-05/msg00036.html,http://lists.opensuse.org/opensuse-security-announce/2015-07/msg00031.html,http://www.securitytracker.com/id?1027001,http://rhn.redhat.com/errata/RHSA-2015-1012.html,http://secunia.com/advisories/48992,https://www.mozilla.org/en-US/security/known-vulnerabilities/thunderbird/#thunderbird31.7"
CVE-2014-1568,"Mozilla Network Security Services (NSS) before 3.16.2.1, 3.16.x before 3.16.5, and 3.17.x before 3.17.1, as used in Mozilla Firefox before 32.0.3, Mozilla Firefox ESR 24.x before 24.8.1 and 31.x before 31.1.1, Mozilla Thunderbird before 24.8.1 and 31.x before 31.1.2, Mozilla SeaMonkey before 2.29.1, Google Chrome before 37.0.2062.124 on Windows and OS X, and Google Chrome OS before 37.0.2062.120, does not properly parse ASN.1 values in X.509 certificates, which makes it easier for remote attackers to spoof RSA signatures via a crafted certificate, aka a ""signature malleability"" issue.",2014-09-25,"http://www.ubuntu.com/usn/USN-2360-1,http://secunia.com/advisories/61575,http://www.novell.com/support/kb/doc.php?id=7015701,http://lists.opensuse.org/opensuse-security-announce/2014-09/msg00039.html,http://secunia.com/advisories/61574,http://www.debian.org/security/2014/dsa-3033,http://www.oracle.com/technetwork/topics/security/cpuapr2015-2365600.html,http://googlechromereleases.blogspot.com/2014/09/stable-channel-update-for-chrome-os_24.html,http://www.oracle.com/technetwork/topics/security/cpujan2015-1972971.html,https://bugzilla.mozilla.org/show_bug.cgi?id=1069405,https://security.gentoo.org/glsa/201504-01,http://lists.opensuse.org/opensuse-security-announce/2014-09/msg00036.html,http://kb.juniper.net/InfoCenter/index?page=content&id=JSA10698,http://www.oracle.com/technetwork/topics/security/cpujul2015-2367936.html,http://www.ubuntu.com/usn/USN-2360-2,http://googlechromereleases.blogspot.com/2014/09/stable-channel-update_24.html,https://exchange.xforce.ibmcloud.com/vulnerabilities/96194,http://kb.juniper.net/InfoCenter/index?page=content&id=JSA10761,http://www.kb.cert.org/vuls/id/772676,http://rhn.redhat.com/errata/RHSA-2014-1371.html,http://www.debian.org/security/2014/dsa-3037,http://www.securityfocus.com/bid/70116,http://www.ubuntu.com/usn/USN-2361-1,http://secunia.com/advisories/61583,http://lists.opensuse.org/opensuse-security-announce/2014-09/msg00032.html,http://www.oracle.com/technetwork/topics/security/ovmbulletinjul2016-3090546.html,http://www.oracle.com/technetwork/topics/security/bulletinapr2016-2952098.html,http://www.debian.org/security/2014/dsa-3034,http://secunia.com/advisories/61540,https://bugzilla.mozilla.org/show_bug.cgi?id=1064636,http://www.mozilla.org/security/announce/2014/mfsa2014-73.html,http://rhn.redhat.com/errata/RHSA-2014-1307.html,http://secunia.com/advisories/61576,http://rhn.redhat.com/errata/RHSA-2014-1354.html"
CVE-2008-4340,"Google Chrome 0.2.149.29 and 0.2.149.30 allows remote attackers to cause a denial of service (memory consumption) via an HTML document containing a carriage return (""\r\n\r\n"") argument to the window.open function.",2008-09-30,"http://www.milw0rm.com/exploits/6554,http://www.securityfocus.com/archive/1/archive/1/496688/100/0/threaded,http://securityreason.com/securityalert/4339,http://secniche.org/gcrds.html,http://xforce.iss.net/xforce/xfdb/45403,http://www.securityfocus.com/bid/31375"
CVE-2008-4724,"Multiple cross-site scripting (XSS) vulnerabilities in Google Chrome 0.2.149.30 allow remote attackers to inject arbitrary web script or HTML via an ftp:// URL for an HTML document within a (1) JPG, (2) PDF, or (3) TXT file.  NOTE: the provenance of this information is unknown; the details are obtained solely from third party information.",2008-10-23,http://www.securityfocus.com/bid/31855
CVE-2008-5749,"** DISPUTED **  Argument injection vulnerability in Google Chrome 1.0.154.36 on Windows XP SP3 allows remote attackers to execute arbitrary commands via the --renderer-path option in a chromehtml: URI.  NOTE: a third party disputes this issue, stating that Chrome ""will ask for user permission"" and ""cannot launch the applet even [if] you have given out the permission.""",2008-12-29,"http://retrogod.altervista.org/9sg_chrome.html,http://www.securityfocus.com/archive/1/archive/1/499581/100/0/threaded,http://www.securityfocus.com/bid/32997,http://www.milw0rm.com/exploits/7566,http://www.securityfocus.com/archive/1/archive/1/499616/100/0/threaded,http://securityreason.com/securityalert/4821,http://www.securityfocus.com/archive/1/archive/1/499570/100/0/threaded"
CVE-2008-5915,"An unspecified function in the JavaScript implementation in Google Chrome creates and exposes a ""temporary footprint"" when there is a current login to a web site, which makes it easier for remote attackers to trick a user into acting upon a spoofed pop-up message, aka an ""in-session phishing attack."" NOTE: as of 20090116, the only disclosure is a vague pre-advisory with no actionable information. However, because it is from a well-known researcher, it is being assigned a CVE identifier for tracking purposes.",2009-01-20,"http://www.securityfocus.com/bid/33276,http://www.darkreading.com/security/attacks/showArticle.jhtml?articleID=212900161,http://www.trusteer.com/files/In-session-phishing-advisory-2.pdf,http://arstechnica.com/news.ars/post/20090113-new-method-of-phishmongering-could-fool-experienced-users.html,http://www.infoworld.com/article/09/01/13/Browser_bug_could_allow_phishing_without_email_1.html"
CVE-2008-6994,"Stack-based buffer overflow in the SaveAs feature (SaveFileAsWithFilter function) in win_util.cc in Google Chrome 0.2.149.27 allows user-assisted remote attackers to execute arbitrary code via a web page with a long TITLE element, which triggers the overflow when the user saves the page and a long filename is generated.  NOTE: it might be possible to exploit this issue via an HTTP response that includes a long filename in a Content-Disposition header.",2009-08-19,"http://securitytracker.com/id?1020823,http://xforce.iss.net/xforce/xfdb/44939,http://xforce.iss.net/xforce/xfdb/44935,http://www.infoworld.com/d/security-central/critical-vulnerability-patched-in-googles-chrome-599,http://www.securityfocus.com/archive/1/archive/1/496042/100/0/threaded,http://www.milw0rm.com/exploits/6367,http://www.securityfocus.com/bid/31031,http://www.milw0rm.com/exploits/6365,http://security.bkis.vn/?p=119,http://www.securityfocus.com/bid/31029,http://code.google.com/p/chromium/issues/detail?id=1414,http://src.chromium.org/viewvc/chrome/branches/chrome_official_branch/src/chrome/common/win_util.cc?r1=1757&r2=1766&pathrev=1766"
CVE-2008-6995,"Integer underflow in net/base/escape.cc in chrome.dll in Google Chrome 0.2.149.27 allows remote attackers to cause a denial of service (browser crash) via a URI with an invalid handler followed by a ""%"" (percent) character, which triggers a buffer over-read, as demonstrated using an ""about:%"" URI.",2009-08-19,"http://xforce.iss.net/xforce/xfdb/44899,http://archives.neohapsis.com/archives/bugtraq/2008-09/0028.html,http://evilfingers.com/advisory/google_chrome_poc.php,http://www.milw0rm.com/exploits/6353,http://www.securityfocus.com/bid/30983,https://www.evilfingers.com/advisory/Google_Chrome_Browser_0.2.149.27_in_chrome_dll.php,http://code.google.com/p/chromium/issues/detail?id=122,http://src.chromium.org/viewvc/chrome/branches/chrome_official_branch/src/net/base/escape.cc?r1=1757&r2=1760&pathrev=1760"
CVE-2008-6996,"Google Chrome BETA (0.2.149.27) does not prompt the user before saving an executable file, which makes it easier for remote attackers or malware to cause a denial of service (disk consumption) or exploit other vulnerabilities via a URL that references an executable file, possibly related to the ""ask where to save each file before downloading"" setting.",2009-08-19,"http://www.securityfocus.com/archive/1/496049,http://xforce.iss.net/xforce/xfdb/44904,http://www.securityfocus.com/archive/1/archive/1/495954/100/100/threaded,http://www.securityfocus.com/archive/1/archive/1/495987/100/0/threaded,http://www.securityfocus.com/bid/31000,http://www.milw0rm.com/exploits/6355,http://www.securityfocus.com/archive/1/archive/1/495951/100/100/threaded,http://www.securityfocus.com/archive/1/archive/1/496048/100/100/threaded,http://www.securityfocus.com/archive/1/archive/1/495942/100/0/threaded,http://www.securityfocus.com/archive/1/archive/1/495959/100/100/threaded,http://src.chromium.org/viewvc/chrome?view=rev&revision=1793,http://codereview.chromium.org/472/diff/1/2"
CVE-2008-6997,"Google Chrome 0.2.149.27 allows user-assisted remote attackers to cause a denial of service (browser crash) via an IMG tag with a long src attribute, which triggers the crash when the victim performs an ""Inspect Element"" action.",2009-08-19,"http://xforce.iss.net/xforce/xfdb/44941,http://badzmanaois.blogspot.com/2008/09/google-chrome-inspect-element-denial-of.html,http://www.milw0rm.com/exploits/6386,http://www.securityfocus.com/bid/31038"
