cve_id,description,published_date,references
CVE-2014-5266,"The Incutio XML-RPC (IXR) Library, as used in WordPress before 3.9.2 and Drupal 6.x before 6.33 and 7.x before 7.31, does not limit the number of elements in an XML document, which allows remote attackers to cause a denial of service (CPU consumption) via a large document, a different vulnerability than CVE-2014-5265.",2014-08-18,"http://www.debian.org/security/2014/dsa-2999,http://cgit.drupalcode.org/drupal/diff/includes/xmlrpc.inc?id=1849830,https://wordpress.org/news/2014/08/wordpress-3-9-2/,https://core.trac.wordpress.org/changeset/29404,http://cgit.drupalcode.org/drupal/diff/modules/openid/xrds.inc?id=1849830,https://www.drupal.org/SA-CORE-2014-004,http://www.debian.org/security/2014/dsa-3001"
CVE-2014-5265,"The Incutio XML-RPC (IXR) Library, as used in WordPress before 3.9.2 and Drupal 6.x before 6.33 and 7.x before 7.31, permits entity declarations without considering recursion during entity expansion, which allows remote attackers to cause a denial of service (memory and CPU consumption) via a crafted XML document containing a large number of nested entity references, a similar issue to CVE-2003-1564.",2014-08-18,"http://www.debian.org/security/2014/dsa-2999,http://cgit.drupalcode.org/drupal/diff/includes/xmlrpc.inc?id=1849830,https://wordpress.org/news/2014/08/wordpress-3-9-2/,https://core.trac.wordpress.org/changeset/29404,https://www.drupal.org/SA-CORE-2014-004,http://www.debian.org/security/2014/dsa-3001"
CVE-2015-5734,Cross-site scripting (XSS) vulnerability in the legacy theme preview implementation in wp-includes/theme.php in WordPress before 4.2.4 allows remote attackers to inject arbitrary web script or HTML via a crafted string.,2015-11-09,"http://www.debian.org/security/2015/dsa-3383,https://core.trac.wordpress.org/changeset/33549,https://codex.wordpress.org/Version_4.2.4,http://www.securitytracker.com/id/1033178,http://www.securityfocus.com/bid/76331,https://blog.sucuri.net/2015/08/persistent-xss-vulnerability-in-wordpress-explained.html,http://www.debian.org/security/2015/dsa-3332,http://openwall.com/lists/oss-security/2015/08/04/7,https://wpvulndb.com/vulnerabilities/8133,https://wordpress.org/news/2015/08/wordpress-4-2-4-security-and-maintenance-release/"
CVE-2015-5733,Cross-site scripting (XSS) vulnerability in the refreshAdvancedAccessibilityOfItem function in wp-admin/js/nav-menu.js in WordPress before 4.2.4 allows remote attackers to inject arbitrary web script or HTML via an accessibility-helper title.,2015-11-09,"https://codex.wordpress.org/Version_4.2.4,http://www.securitytracker.com/id/1033178,https://core.trac.wordpress.org/changeset/33540,http://www.securityfocus.com/bid/76331,http://openwall.com/lists/oss-security/2015/08/04/7,https://wpvulndb.com/vulnerabilities/8132,https://wordpress.org/news/2015/08/wordpress-4-2-4-security-and-maintenance-release/,https://core.trac.wordpress.org/changeset/33541"
CVE-2015-5732,Cross-site scripting (XSS) vulnerability in the form function in the WP_Nav_Menu_Widget class in wp-includes/default-widgets.php in WordPress before 4.2.4 allows remote attackers to inject arbitrary web script or HTML via a widget title.,2015-11-09,"http://www.securityfocus.com/bid/76160,http://www.debian.org/security/2015/dsa-3383,https://codex.wordpress.org/Version_4.2.4,http://www.securitytracker.com/id/1033178,http://www.debian.org/security/2015/dsa-3332,http://openwall.com/lists/oss-security/2015/08/04/7,https://core.trac.wordpress.org/changeset/33529,https://wpvulndb.com/vulnerabilities/8131,https://wordpress.org/news/2015/08/wordpress-4-2-4-security-and-maintenance-release/"
CVE-2015-5731,"Cross-site request forgery (CSRF) vulnerability in wp-admin/post.php in WordPress before 4.2.4 allows remote attackers to hijack the authentication of administrators for requests that lock a post, and consequently cause a denial of service (editing blockage), via a get-post-lock action.",2015-11-09,"http://www.securityfocus.com/bid/76160,http://www.debian.org/security/2015/dsa-3383,https://codex.wordpress.org/Version_4.2.4,http://www.securitytracker.com/id/1033178,http://www.debian.org/security/2015/dsa-3332,http://openwall.com/lists/oss-security/2015/08/04/7,https://core.trac.wordpress.org/changeset/33542,https://core.trac.wordpress.org/changeset/33543,https://wordpress.org/news/2015/08/wordpress-4-2-4-security-and-maintenance-release/"
CVE-2015-5730,"The sanitize_widget_instance function in wp-includes/class-wp-customize-widgets.php in WordPress before 4.2.4 does not use a constant-time comparison for widgets, which allows remote attackers to conduct a timing side-channel attack by measuring the delay before inequality is calculated.",2015-11-09,"http://www.securityfocus.com/bid/76160,https://codex.wordpress.org/Version_4.2.4,http://www.securitytracker.com/id/1033178,https://core.trac.wordpress.org/changeset/33535,https://core.trac.wordpress.org/changeset/33536,http://www.debian.org/security/2015/dsa-3332,http://openwall.com/lists/oss-security/2015/08/04/7,https://wpvulndb.com/vulnerabilities/8130,https://wordpress.org/news/2015/08/wordpress-4-2-4-security-and-maintenance-release/"
CVE-2015-2213,SQL injection vulnerability in the wp_untrash_post_comments function in wp-includes/post.php in WordPress before 4.2.4 allows remote attackers to execute arbitrary SQL commands via a comment that is mishandled after retrieval from the trash.,2015-11-09,"http://www.securityfocus.com/bid/76160,http://www.debian.org/security/2015/dsa-3383,https://core.trac.wordpress.org/changeset/33556,https://codex.wordpress.org/Version_4.2.4,https://core.trac.wordpress.org/changeset/33555,http://www.securitytracker.com/id/1033178,http://www.debian.org/security/2015/dsa-3332,http://openwall.com/lists/oss-security/2015/08/04/7,https://wordpress.org/news/2015/08/wordpress-4-2-4-security-and-maintenance-release/,https://wpvulndb.com/vulnerabilities/8126"
CVE-2015-3439,"Cross-site scripting (XSS) vulnerability in the Ephox (formerly Moxiecode) plupload.flash.swf shim 2.1.2 in Plupload, as used in WordPress 3.9.x, 4.0.x, and 4.1.x before 4.1.2 and other products, allows remote attackers to execute same-origin JavaScript functions via the target parameter, as demonstrated by executing a certain click function, related to _init.as and _fireEvent.as.",2015-08-05,"https://wordpress.org/news/2015/04/wordpress-4-1-2/,http://lists.fedoraproject.org/pipermail/package-announce/2015-May/158278.html,http://www.debian.org/security/2015/dsa-3250,http://lists.fedoraproject.org/pipermail/package-announce/2015-May/158271.html,http://codex.wordpress.org/Version_4.1.2,http://zoczus.blogspot.com/2015/04/plupload-same-origin-method-execution.html,https://core.trac.wordpress.org/changeset/32168,http://lists.fedoraproject.org/pipermail/package-announce/2015-May/157391.html,http://www.securityfocus.com/bid/74269,http://www.securitytracker.com/id/1032207,https://wpvulndb.com/vulnerabilities/7933"
CVE-2015-3438,"Multiple cross-site scripting (XSS) vulnerabilities in WordPress before 4.1.2, when MySQL is used without strict mode, allow remote attackers to inject arbitrary web script or HTML via a (1) four-byte UTF-8 character or (2) invalid character that reaches the database layer, as demonstrated by a crafted character in a comment.",2015-08-04,"https://wordpress.org/news/2015/04/wordpress-4-1-2/,http://lists.fedoraproject.org/pipermail/package-announce/2015-May/158278.html,http://www.debian.org/security/2015/dsa-3250,http://lists.fedoraproject.org/pipermail/package-announce/2015-May/158271.html,http://codex.wordpress.org/Version_4.1.2,http://lists.fedoraproject.org/pipermail/package-announce/2015-May/157391.html,http://www.securityfocus.com/bid/74269,https://cedricvb.be/post/wordpress-stored-xss-vulnerability-4-1-2/,http://www.securitytracker.com/id/1032207,https://wpvulndb.com/vulnerabilities/7929"
CVE-2015-5623,"WordPress before 4.2.3 does not properly verify the edit_posts capability, which allows remote authenticated users to bypass intended access restrictions and create drafts by leveraging the Subscriber role, as demonstrated by a post-quickdraft-save action to wp-admin/post.php.",2015-08-03,"http://www.debian.org/security/2015/dsa-3328,http://openwall.com/lists/oss-security/2015/07/23/18,https://wordpress.org/news/2015/07/wordpress-4-2-3/,https://core.trac.wordpress.org/changeset/33357,http://codex.wordpress.org/Version_4.2.3,http://www.securityfocus.com/bid/76011,https://wpvulndb.com/vulnerabilities/8111,http://www.securitytracker.com/id/1033037"
CVE-2015-5622,"Cross-site scripting (XSS) vulnerability in WordPress before 4.2.3 allows remote authenticated users to inject arbitrary web script or HTML by leveraging the Author or Contributor role to place a crafted shortcode inside an HTML element, related to wp-includes/kses.php and wp-includes/shortcodes.php.",2015-08-03,"http://www.debian.org/security/2015/dsa-3328,http://openwall.com/lists/oss-security/2015/07/23/18,https://klikki.fi/adv/wordpress3.html,https://wordpress.org/news/2015/07/wordpress-4-2-3/,http://www.debian.org/security/2015/dsa-3383,http://codex.wordpress.org/Version_4.2.3,https://core.trac.wordpress.org/changeset/33359,http://www.debian.org/security/2015/dsa-3332,http://www.securityfocus.com/bid/76011,https://wpvulndb.com/vulnerabilities/8111,http://www.securitytracker.com/id/1033037"
